연번,지형지물부호,행정읍면동,법정읍면동,설치일자,소화전형식,주소,경도,위도,데이터기준일자
1217,소화전,고잔동,고잔동,1979-01-01,,경기도 안산시 단원구 고잔동 554-2(526-2 인근),126.8324579,37.3169055,2026-01-12
1218,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 473-4(473-4 인근),126.7728252,37.3174284,2026-01-12
1219,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 481(472-6 인근),126.7742716,37.3165874,2026-01-12
1220,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 481(472-5 인근),126.7742716,37.3165874,2026-01-12
1221,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 410(388 인근),126.7754846,37.3099682,2026-01-12
1222,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 410(389 인근),126.7754846,37.3099682,2026-01-12
1223,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 410(448-2 인근),126.7754846,37.3099682,2026-01-12
1224,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 410(445-4 인근),126.7754846,37.3099682,2026-01-12
1225,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 410(449-3 인근),126.7754846,37.3099682,2026-01-12
1226,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 449,126.7749355,37.3097463,2026-01-12
1227,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 목내동 535(469 인근),126.7746722,37.2946868,2026-01-12
1228,소화전,고잔동,고잔동,1979-01-01,,경기도 안산시 단원구 고잔동 554-2(516 인근),126.8324579,37.3169055,2026-01-12
1229,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 853-1(797-3 인근),126.7496002,37.3021827,2026-01-12
1230,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 853(797-4 인근),126.7514015,37.3010303,2026-01-12
1231,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 853(798-3 인근),126.7514015,37.3010303,2026-01-12
1232,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 853(798-4 인근),126.7514015,37.3010303,2026-01-12
1233,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-2(796 인근),126.7558454,37.2969323,2026-01-12
1234,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-2(851-6 인근),126.7558454,37.2969323,2026-01-12
1235,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-6(850-2 인근),126.7608984,37.2962374,2026-01-12
1236,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-6(851-4 인근),126.7608984,37.2962374,2026-01-12
1237,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-2(796 인근),126.7558454,37.2969323,2026-01-12
1238,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-2(791-2 인근),126.7558454,37.2969323,2026-01-12
1239,소화전,고잔동,고잔동,1900-01-01,,경기도 안산시 단원구 고잔동 549(526-4 인근),126.8278286,37.3193287,2026-01-12
1240,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-2(853-7 인근),126.7558454,37.2969323,2026-01-12
1241,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 853-3(798-6 인근),126.7484566,37.2990439,2026-01-12
1242,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 853-5,126.7465866,37.2995828,2026-01-12
1243,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 853-2(798-7 인근),126.748892,37.3006795,2026-01-12
1244,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 853-2(798-10 인근),126.748892,37.3006795,2026-01-12
1245,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 853-1(797-2 인근),126.7496002,37.3021827,2026-01-12
1246,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854(795 인근),126.755773,37.2985895,2026-01-12
1247,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-1(796 인근),126.7579723,37.2979097,2026-01-12
1248,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-1(796 인근),126.7579723,37.2979097,2026-01-12
1249,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-1(795-2 인근),126.7579723,37.2979097,2026-01-12
1250,소화전,고잔동,고잔동,1979-01-01,,경기도 안산시 단원구 고잔동 554-2(521-2 인근 우체국 소화전),126.8324579,37.3169055,2026-01-12
1251,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-1(796 인근),126.7579723,37.2979097,2026-01-12
1252,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-4(849 인근),126.7615172,37.2977036,2026-01-12
1253,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-4(849-16 인근),126.7615172,37.2977036,2026-01-12
1254,소화전,초지동,성곡동,2016-01-01,지상쌍구,경기도 안산시 단원구 성곡동 854-5(850-3 인근),126.761202,37.2969795,2026-01-12
